PID	Status	Label
633	0	com.apple.accountsd
613	0	com.apple.cdpd
611	0	com.apple.routined
647	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
61446	0	com.citrix.AuthManager_Mac
618	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
84386	-9	com.apple.audio.AudioComponentRegistrar
839	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
782	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
23153	-9	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
709	0	com.apple.notificationcenterui.agent
83840	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
710	0	com.apple.imklaunchagent
652	0	com.apple.FileProvider
42603	-9	com.apple.imcore.imtransferagent
14537	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
714	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
36723	-9	com.apple.EscrowSecurityAlert
23022	-9	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
25649	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
876	0	com.apple.siriknowledged
86680	0	com.apple.powerchime
721	0	com.apple.sharingd
24561	-9	com.apple.seserviced
78214	-9	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
33692	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
784	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
95620	-9	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
-	-9	com.apple.TextInputSwitcher
14548	-9	com.apple.intelligentroutingd
95493	0	com.apple.AMPArtworkAgent
724	0	com.apple.imagent
22899	-9	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
10412	-9	com.apple.assistant_cdmd
942	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
33084	0	com.apple.imautomatichistorydeletionagent
624	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
621	0	com.apple.talagent
657	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
13127	-9	com.apple.iCloudNotificationAgent
5428	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
746	0	com.apple.Maps.mapssyncd
6007	-9	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
651	0	com.apple.usernotificationsd
-	-9	com.apple.FamilyControlsAgent
34468	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
630	0	com.apple.secd
16455	-9	com.apple.hiservices-xpcservice
95492	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
56550	0	com.apple.mdworker.shared.04000000-0500-0000-0000-000000000000
818	0	com.apple.assistantd
7742	0	com.apple.siriinferenced
-	0	com.apple.studentd
-	0	com.apple.FollowUpUI
832	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
766	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
-	-9	com.apple.financed
45313	-9	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
796	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
51481	-9	com.apple.scopedbookmarksagent.xpc
22900	-9	com.apple.ensemble
22906	-9	com.apple.ReportCrash
-	0	com.apple.biomesyncd
-	0	com.microsoft.OneDriveStandaloneUpdater
67077	-9	com.apple.ciphermld
4893	0	com.apple.UsageTrackingAgent
84828	-9	com.apple.email.maild
676	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
15203	-9	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
47724	0	com.apple.gamed
-	0	com.apple.STMUIHelper
10413	-9	com.apple.intelligencecontextd
